exp_id,test_acc_mean,test_acc_std,test_balanced_acc_mean,test_balanced_acc_std,test_f1_macro_mean,test_f1_macro_std,test_f1_weighted_mean,test_f1_weighted_std,test_recall_0_mean,test_recall_0_std,test_recall_1_mean,test_recall_1_std,test_recall_2_mean,test_recall_2_std
E10_lr_bin_0p001_head_0p0005_ft_0p0003,0.8153846153846154,,0.818181818181818,,0.8122843340234644,,0.810734193342889,,1.0,,0.6818181818181818,,0.7727272727272727,
E10_lr_bin_0p001_head_0p0005_ft_0p0005,0.8307692307692308,,0.8333333333333334,,0.8251455468846772,,0.8237932710173512,,1.0,,0.6363636363636364,,0.8636363636363636,
E10_lr_bin_0p001_head_0p0005_ft_5e-05,0.7538461538461538,,0.7575757575757575,,0.7487922705314008,,0.7462653288740244,,1.0,,0.7272727272727273,,0.5454545454545454,
E10_lr_bin_0p001_head_0p001_ft_0p0001,0.8153846153846154,,0.818181818181818,,0.8122843340234644,,0.810734193342889,,1.0,,0.6818181818181818,,0.7727272727272727,
E10_lr_bin_0p001_head_0p001_ft_0p0003,0.8615384615384616,,0.8636363636363636,,0.8590840711238256,,0.8582539263986402,,1.0,,0.7272727272727273,,0.8636363636363636,
E10_lr_bin_0p001_head_0p001_ft_0p0005,0.8307692307692308,,0.8333333333333334,,0.8251455468846772,,0.8237932710173512,,1.0,,0.6363636363636364,,0.8636363636363636,
E10_lr_bin_0p001_head_0p001_ft_5e-05,0.7692307692307693,,0.7727272727272728,,0.7655324149311199,,0.763263013956816,,1.0,,0.7272727272727273,,0.5909090909090909,
E10_lr_bin_0p001_head_0p002_ft_0p0001,0.7846153846153846,,0.787878787878788,,0.7818459191456903,,0.7798274951593029,,1.0,,0.7272727272727273,,0.6363636363636364,
E10_lr_bin_0p001_head_0p002_ft_0p0003,0.8307692307692308,,0.8333333333333334,,0.8288326058184747,,0.8275370539347455,,1.0,,0.7272727272727273,,0.7727272727272727,
E10_lr_bin_0p001_head_0p002_ft_0p0005,0.8615384615384616,,0.8636363636363636,,0.8590840711238256,,0.8582539263986402,,1.0,,0.7272727272727273,,0.8636363636363636,
E10_lr_bin_0p001_head_0p002_ft_5e-05,0.7538461538461538,,0.7575757575757575,,0.7487922705314008,,0.7462653288740244,,1.0,,0.7272727272727273,,0.5454545454545454,
E10_lr_bin_0p002_head_0p0001_ft_0p0001,0.8615384615384616,,0.8636363636363636,,0.8590840711238256,,0.8582539263986402,,1.0,,0.7272727272727273,,0.8636363636363636,
E10_lr_bin_0p002_head_0p0001_ft_0p0003,0.8461538461538461,,0.8484848484848485,,0.8398169336384439,,0.8386903714134835,,1.0,,0.6363636363636364,,0.9090909090909091,
E10_lr_bin_0p002_head_0p0001_ft_0p0005,0.8615384615384616,,0.8636363636363636,,0.8570543787935092,,0.856193008032473,,1.0,,0.6818181818181818,,0.9090909090909091,
E10_lr_bin_0p002_head_0p0001_ft_5e-05,0.8461538461538461,,0.8484848484848485,,0.8440303657694962,,0.8429686255773211,,1.0,,0.7272727272727273,,0.8181818181818182,
