exp_id,seed,reserved_per_class,hidden_dims,dropout,bin_lr,head_lr,ft_lr,weight_decay,scaler_strategy,use_transfer,transfer_mode,phase1_freeze,phase2_finetune,use_class_weights,multiclass_weights,save_model_pt,test_loss,test_acc,test_balanced_acc,test_f1_macro,test_f1_weighted,test_precision_macro,test_recall_0,test_recall_1,test_recall_2,test_precision_0,test_precision_1,test_precision_2,bin_val_loss,bin_val_acc,bin_val_f1,bin_val_balanced_acc
E10_lr_bin_0p0005_head_0p002_ft_5e-05,42,72,"(128, 64)",0.3,0.0005,0.002,5e-05,0.0001,binary_train,True,all,True,True,True,"(1.0, 2.5, 1.1)",False,0.5603591845585749,0.6923076923076923,0.6969696969696969,0.652958705832269,0.6486452500245604,0.8009259259259259,1.0,0.8636363636363636,0.22727272727272727,0.875,0.5277777777777778,1.0,0.16534444020205252,0.9391891891891891,0.9426751592356688,0.9418647503224618
E10_lr_bin_0p0005_head_0p002_ft_0p0001,42,72,"(128, 64)",0.3,0.0005,0.002,0.0001,0.0001,binary_train,True,all,True,True,True,"(1.0, 2.5, 1.1)",False,0.5547960749039283,0.7384615384615385,0.7424242424242425,0.7191919191919193,0.7158974358974358,0.8169191919191919,1.0,0.8636363636363636,0.36363636363636365,0.875,0.5757575757575758,1.0,0.16534444020205252,0.9391891891891891,0.9426751592356688,0.9418647503224618
E10_lr_bin_0p0005_head_0p002_ft_0p0003,42,72,"(128, 64)",0.3,0.0005,0.002,0.0003,0.0001,binary_train,True,all,True,True,True,"(1.0, 2.5, 1.1)",False,0.5361429017323714,0.8,0.8030303030303031,0.7978598979718802,0.7957756912740116,0.81,1.0,0.7727272727272727,0.6363636363636364,0.875,0.68,0.875,0.16534444020205252,0.9391891891891891,0.9426751592356688,0.9418647503224618
E10_lr_bin_0p0005_head_0p002_ft_0p0005,42,72,"(128, 64)",0.3,0.0005,0.002,0.0005,0.0001,binary_train,True,all,True,True,True,"(1.0, 2.5, 1.1)",False,0.5236541019036219,0.8615384615384616,0.8636363636363636,0.8603912882982651,0.8592691029900333,0.8615079365079366,1.0,0.7727272727272727,0.8181818181818182,0.875,0.8095238095238095,0.9,0.16534444020205252,0.9391891891891891,0.9426751592356688,0.9418647503224618
E10_lr_bin_0p001_head_0p0001_ft_5e-05,42,72,"(128, 64)",0.3,0.001,0.0001,5e-05,0.0001,binary_train,True,all,True,True,True,"(1.0, 2.5, 1.1)",False,0.62424883383971,0.8153846153846154,0.8181818181818182,0.8104084321475625,0.808829431438127,0.8119865319865319,1.0,0.6363636363636364,0.8181818181818182,0.84,0.7777777777777778,0.8181818181818182,0.17515719883345268,0.9324324324324325,0.9358974358974359,0.9356919108162889
E10_lr_bin_0p001_head_0p0001_ft_0p0001,42,72,"(128, 64)",0.3,0.001,0.0001,0.0001,0.0001,binary_train,True,all,True,True,True,"(1.0, 2.5, 1.1)",False,0.7345470685225267,0.6,0.6060606060606061,0.5907114624505928,0.585752508361204,0.583030303030303,1.0,0.4090909090909091,0.4090909090909091,0.84,0.4090909090909091,0.5,0.17515719883345268,0.9324324324324325,0.9358974358974359,0.9356919108162889
E10_lr_bin_0p001_head_0p0001_ft_0p0003,42,72,"(128, 64)",0.3,0.001,0.0001,0.0003,0.0001,binary_train,True,all,True,True,True,"(1.0, 2.5, 1.1)",False,0.6738990059265724,0.7846153846153846,0.787878787878788,0.7757437070938215,0.7736314029220207,0.7799999999999999,1.0,0.5454545454545454,0.8181818181818182,0.84,0.75,0.75,0.17515719883345268,0.9324324324324325,0.9358974358974359,0.9356919108162889
E10_lr_bin_0p001_head_0p0001_ft_0p0005,42,72,"(128, 64)",0.3,0.001,0.0001,0.0005,0.0001,binary_train,True,all,True,True,True,"(1.0, 2.5, 1.1)",False,0.6267322159730471,0.8153846153846154,0.8181818181818182,0.8077803203661328,0.8061608871677521,0.8147222222222221,1.0,0.5909090909090909,0.8636363636363636,0.84,0.8125,0.7916666666666666,0.17515719883345268,0.9324324324324325,0.9358974358974359,0.9356919108162889
E10_lr_bin_0p001_head_0p0003_ft_5e-05,42,72,"(128, 64)",0.3,0.001,0.0003,5e-05,0.0001,binary_train,True,all,True,True,True,"(1.0, 2.5, 1.1)",False,0.6514191737541786,0.7846153846153846,0.7878787878787877,0.7785902503293807,0.7765217391304348,0.7783164983164982,1.0,0.5909090909090909,0.7727272727272727,0.84,0.7222222222222222,0.7727272727272727,0.17515719883345268,0.9324324324324325,0.9358974358974359,0.9356919108162889
E10_lr_bin_0p001_head_0p0003_ft_0p0001,42,72,"(128, 64)",0.3,0.001,0.0003,0.0001,0.0001,binary_train,True,all,True,True,True,"(1.0, 2.5, 1.1)",False,0.6411249032387367,0.8,0.8030303030303031,0.7955559939825889,0.7937484942244615,0.7954553049289892,1.0,0.6363636363636364,0.7727272727272727,0.84,0.7368421052631579,0.8095238095238095,0.17515719883345268,0.9324324324324325,0.9358974358974359,0.9356919108162889
E10_lr_bin_0p001_head_0p0003_ft_0p0003,42,72,"(128, 64)",0.3,0.001,0.0003,0.0003,0.0001,binary_train,True,all,True,True,True,"(1.0, 2.5, 1.1)",False,0.6046112399834853,0.8307692307692308,0.8333333333333334,0.8251455468846772,0.8237932710173512,0.8298721227621484,1.0,0.6363636363636364,0.8636363636363636,0.84,0.8235294117647058,0.8260869565217391,0.17515719883345268,0.9324324324324325,0.9358974358974359,0.9356919108162889
E10_lr_bin_0p001_head_0p0003_ft_0p0005,42,72,"(128, 64)",0.3,0.001,0.0003,0.0005,0.0001,binary_train,True,all,True,True,True,"(1.0, 2.5, 1.1)",False,0.5751367018773006,0.8307692307692308,0.8333333333333334,0.8251455468846772,0.8237932710173512,0.8298721227621484,1.0,0.6363636363636364,0.8636363636363636,0.84,0.8235294117647058,0.8260869565217391,0.17515719883345268,0.9324324324324325,0.9358974358974359,0.9356919108162889
E10_lr_bin_0p001_head_0p0005_ft_5e-05,42,72,"(128, 64)",0.3,0.001,0.0005,5e-05,0.0001,binary_train,True,all,True,True,True,"(1.0, 2.5, 1.1)",False,0.6245793113341698,0.7538461538461538,0.7575757575757575,0.7487922705314008,0.7462653288740244,0.7708424908424908,1.0,0.7272727272727273,0.5454545454545454,0.84,0.6153846153846154,0.8571428571428571,0.17515719883345268,0.9324324324324325,0.9358974358974359,0.9356919108162889
E10_lr_bin_0p001_head_0p0005_ft_0p0001,42,72,"(128, 64)",0.3,0.001,0.0005,0.0001,0.0001,binary_train,True,all,True,True,True,"(1.0, 2.5, 1.1)",False,0.620098570218453,0.7846153846153846,0.787878787878788,0.7818459191456903,0.7798274951593029,0.793888888888889,1.0,0.7272727272727273,0.6363636363636364,0.84,0.6666666666666666,0.875,0.17515719883345268,0.9324324324324325,0.9358974358974359,0.9356919108162889
E10_lr_bin_0p001_head_0p0005_ft_0p0003,42,72,"(128, 64)",0.3,0.001,0.0005,0.0003,0.0001,binary_train,True,all,True,True,True,"(1.0, 2.5, 1.1)",False,0.6037387774540828,0.8153846153846154,0.818181818181818,0.8122843340234644,0.810734193342889,0.8133333333333334,1.0,0.6818181818181818,0.7727272727272727,0.84,0.75,0.85,0.17515719883345268,0.9324324324324325,0.9358974358974359,0.9356919108162889
E10_lr_bin_0p001_head_0p0005_ft_0p0005,42,72,"(128, 64)",0.3,0.001,0.0005,0.0005,0.0001,binary_train,True,all,True,True,True,"(1.0, 2.5, 1.1)",False,0.5897757997879616,0.8307692307692308,0.8333333333333334,0.8251455468846772,0.8237932710173512,0.8298721227621484,1.0,0.6363636363636364,0.8636363636363636,0.84,0.8235294117647058,0.8260869565217391,0.17515719883345268,0.9324324324324325,0.9358974358974359,0.9356919108162889
